onset	duration	sub	run_num	commercial_cond	stim_file_name	response	response_time	food_ed	food_taste	sys_onset_time
0	2	sub-002	4	toy	wait	n/a	n/a	high	savory	521223000
2	2.2	sub-002	4	toy	c1_instruct	n/a	n/a	high	savory	521225000
4.2	15.3	sub-002	4	toy	setC_blockA_toy1.mp4	n/a	n/a	high	savory	521227200
19.5	15.2	sub-002	4	toy	setC_blockA_toy2.mp4	n/a	n/a	high	savory	521242500
34.7	10.1	sub-002	4	toy	fix	n/a	n/a	high	savory	521257700
44.8	2	sub-002	4	toy	foodviewing_instruct	n/a	n/a	high	savory	521267800
46.8	0.6	sub-002	4	toy	foodview_fix	n/a	n/a	high	savory	521269800
47.4	1.5	sub-002	4	toy	setC_hed_savory1.jpeg	1	1257	high	savory	521270400
48.9	0.5	sub-002	4	toy	foodview_fix	n/a	n/a	high	savory	521271900
49.4	1.6	sub-002	4	toy	setC_hed_savory2.jpeg	1	658	high	savory	521272400
51	0.5	sub-002	4	toy	foodview_fix	n/a	n/a	high	savory	521274000
51.5	1.5	sub-002	4	toy	setC_hed_savory3.jpeg	2	972	high	savory	521274500
53	0.6	sub-002	4	toy	foodview_fix	n/a	n/a	high	savory	521276000
53.6	1.5	sub-002	4	toy	setC_hed_savory4.jpeg	1	936	high	savory	521276600
55.1	0.6	sub-002	4	toy	foodview_fix	n/a	n/a	high	savory	521278100
55.7	1.5	sub-002	4	toy	setC_hed_savory5.jpeg	1	1022	high	savory	521278700
57.2	10	sub-002	4	toy	fix	n/a	n/a	high	savory	521280200
67.2	2.2	sub-002	4	food	c2_instruct	n/a	n/a	high	sweet	521290200
69.4	15.1	sub-002	4	food	setC_blockA_food1.mp4	n/a	n/a	high	sweet	521292400
84.5	15	sub-002	4	food	setC_blockA_food2.mp4	n/a	n/a	high	sweet	521307500
99.5	10	sub-002	4	food	fix	n/a	n/a	high	sweet	521322500
109.5	2.1	sub-002	4	food	foodviewing_instruct	n/a	n/a	high	sweet	521332500
111.6	0.5	sub-002	4	food	foodview_fix	n/a	n/a	high	sweet	521334600
112.1	1.5	sub-002	4	food	setC_hed_sweet1.jpeg	2	1240	high	sweet	521335100
113.6	0.5	sub-002	4	food	foodview_fix	n/a	n/a	high	sweet	521336600
114.1	1.6	sub-002	4	food	setC_hed_sweet2.jpeg	1	690	high	sweet	521337100
115.7	0.5	sub-002	4	food	foodview_fix	n/a	n/a	high	sweet	521338700
116.2	1.5	sub-002	4	food	setC_hed_sweet3.jpeg	1	0	high	sweet	521339200
117.7	0.6	sub-002	4	food	foodview_fix	n/a	n/a	high	sweet	521340700
118.3	1.5	sub-002	4	food	setC_hed_sweet4.jpeg	1	606	high	sweet	521341300
119.8	0.5	sub-002	4	food	foodview_fix	n/a	n/a	high	sweet	521342800
120.3	1.5	sub-002	4	food	setC_hed_sweet5.jpeg	1	907	high	sweet	521343300
121.8	10.1	sub-002	4	food	fix	n/a	n/a	high	sweet	521344800
131.9	2.1	sub-002	4	food	c2_instruct	n/a	n/a	low	savory	521354900
134	15.2	sub-002	4	food	setC_blockB_food1.mp4	n/a	n/a	low	savory	521357000
149.2	15	sub-002	4	food	setC_blockB_food2.mp4	n/a	n/a	low	savory	521372200
164.2	10	sub-002	4	food	fix	n/a	n/a	low	savory	521387200
174.2	2	sub-002	4	food	foodviewing_instruct	n/a	n/a	low	savory	521397200
176.2	0.5	sub-002	4	food	foodview_fix	n/a	n/a	low	savory	521399200
176.7	1.6	sub-002	4	food	setC_led_savory1.jpeg	1	589	low	savory	521399700
178.3	0.5	sub-002	4	food	foodview_fix	n/a	n/a	low	savory	521401300
178.8	1.5	sub-002	4	food	setC_led_savory2.jpeg	2	816	low	savory	521401800
180.3	0.6	sub-002	4	food	foodview_fix	n/a	n/a	low	savory	521403300
180.9	1.5	sub-002	4	food	setC_led_savory3.jpeg	2	799	low	savory	521403900
182.4	0.5	sub-002	4	food	foodview_fix	n/a	n/a	low	savory	521405400
182.9	1.5	sub-002	4	food	setC_led_savory4.jpeg	2	662	low	savory	521405900
184.4	0.6	sub-002	4	food	foodview_fix	n/a	n/a	low	savory	521407400
185	1.5	sub-002	4	food	setC_led_savory5.jpeg	2	922	low	savory	521408000
186.5	10	sub-002	4	food	fix	n/a	n/a	low	savory	521409500
196.5	2.2	sub-002	4	toy	c2_instruct	n/a	n/a	low	sweet	521419500
198.7	16.1	sub-002	4	toy	setC_blockB_toy1.mp4	n/a	n/a	low	sweet	521421700
214.8	15.2	sub-002	4	toy	setC_blockB_toy2.mp4	n/a	n/a	low	sweet	521437800
230	10.1	sub-002	4	toy	fix	n/a	n/a	low	sweet	521453000
240.1	2	sub-002	4	toy	foodviewing_instruct	n/a	n/a	low	sweet	521463100
242.1	0.5	sub-002	4	toy	foodview_fix	n/a	n/a	low	sweet	521465100
242.6	1.5	sub-002	4	toy	setC_led_sweet1.jpeg	2	1441	low	sweet	521465600
244.1	0.6	sub-002	4	toy	foodview_fix	n/a	n/a	low	sweet	521467100
244.7	1.5	sub-002	4	toy	setC_led_sweet2.jpeg	2	774	low	sweet	521467700
246.2	0.5	sub-002	4	toy	foodview_fix	n/a	n/a	low	sweet	521469200
246.7	1.6	sub-002	4	toy	setC_led_sweet3.jpeg	2	788	low	sweet	521469700
248.3	0.5	sub-002	4	toy	foodview_fix	n/a	n/a	low	sweet	521471300
248.8	1.5	sub-002	4	toy	setC_led_sweet4.jpeg	2	1008	low	sweet	521471800
250.3	0.5	sub-002	4	toy	foodview_fix	n/a	n/a	low	sweet	521473300
250.8	1.6	sub-002	4	toy	setC_led_sweet5.jpeg	0	n/a	low	sweet	521473800
252.4	10	sub-002	4	toy	fix	n/a	n/a	low	sweet	521475400
